make,model,year,damage,severity,cost
Toyota,Camry,2010,bumper,severe,17748.0
BMW,320i,2015,scratch,moderate,11596.5
Honda,Accord,2006,bumper,moderate,7561.5
Ford,Fusion,2006,bumper,minor,9518.0
Honda,Civic,2015,scratch,minor,6883.0
Toyota,Corolla,2014,scratch,moderate,7365.0
Ford,Fusion,2011,dent,moderate,12316.5
Ford,Fusion,2018,dent,minor,4171.0
Honda,Accord,2007,dent,minor,6498.0
Ford,Focus,2016,broken_glass,moderate,9489.0
Ford,Fusion,2008,broken_glass,minor,3295.0
BMW,320i,2010,bumper,moderate,7227.0
BMW,X5,2016,broken_glass,moderate,13924.5
Honda,Civic,2012,scratch,minor,9874.0
Toyota,Camry,2017,bumper,severe,18186.0
Ford,Fusion,2005,broken_glass,severe,15996.0
Toyota,Corolla,2022,scratch,severe,6546.0
BMW,320i,2013,dent,severe,6826.0
BMW,320i,2016,scratch,minor,3085.0
Toyota,Corolla,2005,scratch,severe,14272.0
BMW,320i,2012,bumper,moderate,13540.5
Toyota,Camry,2006,bumper,minor,8589.0
Honda,Civic,2010,scratch,moderate,4534.5
Toyota,Corolla,2010,broken_glass,severe,9822.0
BMW,320i,2019,scratch,severe,16194.0
Ford,Focus,2022,scratch,severe,14676.0
Toyota,Camry,2018,dent,severe,9078.0
Ford,Fusion,2009,scratch,minor,9384.0
Ford,Fusion,2007,broken_glass,moderate,10954.5
Toyota,Camry,2010,dent,minor,9838.0
Toyota,Corolla,2022,broken_glass,moderate,6430.5
Honda,Accord,2012,broken_glass,moderate,13570.5
Toyota,Camry,2009,broken_glass,minor,4109.0
BMW,X5,2010,broken_glass,minor,7691.0
Ford,Focus,2006,bumper,moderate,6357.0
Honda,Civic,2021,bumper,minor,7582.0
Toyota,Camry,2017,bumper,moderate,10350.0
Honda,Accord,2017,scratch,moderate,9649.5
BMW,320i,2011,scratch,severe,13660.0
Ford,Focus,2015,bumper,moderate,13314.0
Toyota,Corolla,2018,scratch,minor,6656.0
Honda,Civic,2012,scratch,moderate,11997.0
Honda,Civic,2005,dent,moderate,5907.0
BMW,320i,2006,dent,minor,9144.0
Ford,Focus,2010,scratch,minor,8309.0
Toyota,Camry,2017,bumper,severe,13628.0
Honda,Civic,2005,scratch,moderate,11479.5
Toyota,Camry,2008,dent,severe,8062.0
Honda,Accord,2006,bumper,moderate,9621.0
BMW,320i,2009,dent,severe,13956.0
BMW,X5,2006,scratch,severe,7628.0
Honda,Accord,2007,scratch,minor,8177.0
